id,hero,name,type,subtype,cost,T_req,S_req,R_req,M_req,effect_text,timing,rarity,faction,set_code,flavor,visual_prompt
X-01-192,Doctor Boon,Doctor Boon Card 28,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-193,Doctor Boon,Doctor Boon Card 29,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-194,Doctor Boon,Doctor Boon Card 30,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-195,Doctor Boon,Doctor Boon Card 31,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-196,Doctor Boon,Doctor Boon Card 32,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-197,Doctor Boon,Doctor Boon Card 33,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-198,Doctor Boon,Doctor Boon Card 34,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-199,Doctor Boon,Doctor Boon Card 35,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-200,Doctor Boon,Doctor Boon Card 36,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-201,Doctor Boon,Doctor Boon Card 37,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-202,Doctor Boon,Doctor Boon Card 38,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-01-203,Doctor Boon,Doctor Boon Card 39,Trap,,1,1,0,0,0,Effect placeholder,Main,C,The Freeborn,X-01,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Trap card for Doctor Boon / The Freeborn. Frame/border: angular arcane notches, metallic silver filigree, top-and-bottom rune plates. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: teal & chrome. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-204,High Priestess Nyra,High Priestess Nyra Card 1,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-205,High Priestess Nyra,High Priestess Nyra Card 2,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-206,High Priestess Nyra,High Priestess Nyra Card 3,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-207,High Priestess Nyra,High Priestess Nyra Card 4,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-208,High Priestess Nyra,High Priestess Nyra Card 5,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-209,High Priestess Nyra,High Priestess Nyra Card 6,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-210,High Priestess Nyra,High Priestess Nyra Card 7,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-211,High Priestess Nyra,High Priestess Nyra Card 8,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-212,High Priestess Nyra,High Priestess Nyra Card 9,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-213,High Priestess Nyra,High Priestess Nyra Card 10,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-214,High Priestess Nyra,High Priestess Nyra Card 11,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-215,High Priestess Nyra,High Priestess Nyra Card 12,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-216,High Priestess Nyra,High Priestess Nyra Card 13,Ally,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Ally card for High Priestess Nyra / Elemental Flame. Frame/border: rounded, beveled corners, subtle inner glow, faction sigil medallions at the four corners. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
X-02-217,High Priestess Nyra,High Priestess Nyra Card 14,Action,,1,1,0,0,0,Effect placeholder,Main,C,Elemental Flame,X-02,Flavor placeholder,"Starfall Catastrophe TCG card, 1024x1536, Action card for High Priestess Nyra / Elemental Flame. Frame/border: dynamic diagonal slashes, motion streaks along the edges, thin inner chromeline. Global UI: title box color #3a254d (deep lavender, serif bold caps), effect box color #f2e8dc (parchment cream, readable serif). Faction palette accent: lavender & black fireglow. Artwork focus: generic art prompt. Keep text areas clean, high readability, no stat numbers on art."
